Author,Species,Plant_taxonomy,Plant_type,Longitude,Latitude,Elevation,Measurement_year,Vcmax_reported,Jmax_reported ,Vcmax_25C,Jmax_25C,Leaf_N ,Leaf_P,SLA,Needle_age,Treatment_CO2,Treatment_N,Treatment_P,Treatment_light,Treatment_other,Treatment_other_levels,Measurement_temperature,Photosynthetic_reference,Kinetic_reference,Km,Kc,Ko,Tau,Gamma_star,Wj_reference,J_reference,J_flag,Irradiance,Alpha,Theta,O2_reported,Notes
Manter et al 2005,Pseudotsuga menziezii,A,E,-122.40,45.31,75,2002,46.44,0,45.22,0,1.57,0.38,0.008,<1,not applicable,4,not applicable,not applicable,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,not applicable,no,1500,0,0,21.00,
Manter et al 2005,Pseudotsuga menziezii,A,E,-122.40,45.31,75,2002,51.11,0,49.77,0,2.16,0.19,0.008,<1,not applicable,5,not applicable,not applicable,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,not applicable,no,1500,0,0,21.00,
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1998,84.21,103.73,41.22,71.36,2.25,0,0.008,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,78.65,117.88,38.50,81.05,2.41,0,0.008,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,123.60,170.96,60.49,117.24,2.02,0,0.008,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,2000,77.44,127.00,37.90,87.29,1.84,0,0.008,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,2000,113.11,134.63,55.36,92.50,1.84,0,0.008,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1998,105.62,152.87,51.69,104.94,1.61,0,0.009,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,63.16,107.73,30.91,74.10,2.37,0,0.009,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,78.65,129.97,38.50,89.32,2.08,0,0.009,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,83.15,134.73,40.70,92.57,2.29,0,0.009,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,90.23,145.80,44.16,100.12,2.25,0,0.009,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,141.35,206.02,69.19,140.97,2.41,0,0.009,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,148.31,173.99,72.59,119.30,1.97,0,0.009,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,2000,108.27,138.32,52.99,95.02,1.88,0,0.009,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Katahata et al 2007,Daphniphyllum humile,G,E,138.40,36.51,900,2003,25.05,50.95,30.29,41.25,1.25,0,0.010,1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,22,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1000,0,0,0,
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1998,126.32,180.55,61.83,123.75,2.05,0,0.010,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,148.12,170.30,72.50,116.79,2.10,0,0.010,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,2000,89.14,129.35,43.63,88.90,1.74,0,0.010,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,2000,95.49,140.44,46.74,96.46,1.81,0,0.010,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Merilo et al 2006,Picea abies (clone 91),G,E,26.55,58.42,65,2000,56.68,0,118.49,0,2.28,0,0.011,not applicable,not applicable,unfertilised,unfertilised,sun,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Katahata et al 2007,Daphniphyllum humile,G,E,138.40,36.51,900,2003,55.18,105.20,66.72,78.55,2.27,0,0.011,<1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,22,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1000,0,0,0,
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,1999,72.18,114.29,35.33,78.59,1.82,0,0.011,not applicable,amb,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Merilo et al 2006,Picea abies (clone 21),A,E,26.55,58.42,65,2000,37.81,0,79.04,0,1.71,0,0.012,not applicable,not applicable,unfertilised,unfertilised,shade,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Merilo et al 2006,Picea abies (clone 21),A,E,26.55,58.42,65,2000,48.98,0,102.39,0,1.95,0,0.012,not applicable,not applicable,unfertilised,unfertilised,sun,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Merilo et al 2006,Picea abies (clone 91),G,E,26.55,58.42,65,2000,56.00,0,117.06,0,2.15,0,0.012,not applicable,not applicable,fertilised,fertilised,sun,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Wohlfahrt et al 1999,Pulsatilla sulphurea,A,F,11.01,46.01,1540,1993/1996,24.20,96.80,34.47,93.06,2.05,0,0.012,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Wohlfahrt et al 1999,Nardus stricta,A,G,11.01,46.01,1540,1993/1996,37.38,97.00,43.72,110.80,1.74,0,0.012,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Katahata et al 2007,Daphniphyllum humile,G,E,138.40,36.51,900,2003,26.23,56.47,31.72,45.28,1.31,0,0.012,1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,22,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1000,0,0,0,
Aranda et al 2005,Quercus suber ,A,E,-3.43,39.23,650,not reported,50.54,136.70,73.69,137.28,1.86,0,0.012,not applicable,not applicable,not applicable,not applicable,high,water,sufficient,23.4,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,78.70,136.00,76.24,88.14,2.73,0,0.012,not applicable,amb,fertilised,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,84.90,168.80,82.25,106.40,2.74,0,0.012,not applicable,ele,fertilised,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1999,17.80,65.20,62.45,111.33,2.00,0,0.013,not applicable,ele,low,not applicable,sun,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Merilo et al 2006,Picea abies (clone 83),G,E,26.55,58.42,65,2000,61.11,0,127.75,0,1.94,0,0.013,not applicable,not applicable,unfertilised,unfertilised,sun,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1998,45.50,95.40,113.63,131.48,1.70,0,0.013,not applicable,ele,low,not applicable,sun,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1998,56.80,124.80,141.86,170.50,2.60,0,0.013,not applicable,ele,high,not applicable,sun,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Wohlfahrt et al 1999,Vaccinium uliginosum,A,D,11.01,46.01,1900,1997,38.75,82.24,40.99,98.25,1.74,0,0.013,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Katahata et al 2007,Daphniphyllum humile,G,E,138.40,36.51,900,2003,29.75,65.34,35.97,51.63,1.75,0,0.013,1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,22,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1000,0,0,0,
Katahata et al 2007,Daphniphyllum humile,G,E,138.40,36.51,900,2003,38.27,86.59,46.27,66.26,1.83,0,0.013,<1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,22,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1000,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,45.40,92.80,43.98,62.85,1.76,0,0.013,not applicable,amb,unfertilised,not applicable,middle,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,50.60,112.60,49.02,74.65,2.01,0,0.013,not applicable,ele,unfertilised,not applicable,middle,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,75.70,153.70,73.34,98.07,2.57,0,0.013,not applicable,ele,unfertilised,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,77.00,151.10,74.59,96.63,2.56,0,0.013,not applicable,amb,unfertilised,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1999,8.00,27.60,28.07,47.47,1.10,0,0.014,not applicable,ele,low,not applicable,shade,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1999,19.00,68.40,66.66,116.69,2.30,0,0.014,not applicable,ele,high,not applicable,sun,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1999,20.00,75.90,70.17,129.20,2.00,0,0.014,not applicable,amb,low,not applicable,sun,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1999,31.20,93.60,109.46,158.34,2.50,0,0.014,not applicable,amb,high,not applicable,sun,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Merilo et al 2006,Picea abies (clone 91),G,E,26.55,58.42,65,2000,37.35,0,78.08,0,1.52,0,0.014,not applicable,not applicable,unfertilised,unfertilised,shade,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Merilo et al 2006,Picea abies (clone 83),G,E,26.55,58.42,65,2000,61.29,0,128.12,0,2.36,0,0.014,not applicable,not applicable,fertilised,fertilised,sun,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1998,48.10,105.10,120.13,144.47,1.80,0,0.014,not applicable,amb,low,not applicable,sun,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Wohlfahrt et al 1999,Arnica montana,A,F,11.01,46.01,1770,1993/1996,28.31,113.24,30.44,91.79,1.28,0,0.014,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Wohlfahrt et al 1999,Plantago atrata,A,F,11.01,46.01,1540,1993/1996,50.72,121.72,56.55,150.71,1.44,0,0.014,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Katahata et al 2007,Daphniphyllum humile,G,E,138.40,36.51,900,2003,23.47,62.87,28.38,49.87,1.51,0,0.014,1,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,22,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1000,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,47.70,102.50,46.21,68.68,2.03,0,0.014,not applicable,ele,fertilised,not applicable,middle,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Rodriguez Calcerrada et al 2008,Quercus pyrenaica,A,D,-3.30,41.07,50,2005,70.80,144.00,56.33,127.17,1.22,0,0.014,not applicable,not applicable,not applicable,not applicable,high (pre-flush),not applicable,not applicable,25,Dreyer et al 2001,Bauer et al 2001; Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1000,0.24,0,20.00,temperature reported as 25.8
Bauer et al 2001,Quercus rubra,A,D,-71.03,42.21,40,1997,29.37,46.22,28.42,36.28,0.69,0,0.014,not applicable,ele,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Bauer et al 2001,Acer rubrum,A,D,-71.03,42.21,40,1997,30.84,52.99,29.85,41.60,0.48,0,0.014,not applicable,ele,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1999,6.40,28.30,22.45,48.67,1.10,0,0.015,not applicable,ele,low,not applicable,sun,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1999,14.40,53.50,50.52,91.62,1.30,0,0.015,not applicable,ele,high,not applicable,sun,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1998,11.50,31.90,28.72,44.45,1.10,0,0.015,not applicable,ele,low,not applicable,sun,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1998,15.10,38.40,37.71,53.48,1.00,0,0.015,not applicable,ele,low,not applicable,shade,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1998,26.40,61.30,65.93,85.10,1.90,0,0.015,not applicable,amb,high,not applicable,sun,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1998,71.00,176.80,177.32,236.65,2.60,0,0.015,not applicable,amb,high,not applicable,sun,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Wohlfahrt et al 1999,Calluna vulgaris,A,E,11.01,46.01,1770,1993/1996,15.72,41.44,13.74,53.56,1.06,0,0.015,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Wohlfahrt et al 1999,Koeleria pyramidata,A,G,11.01,46.01,1540,1993/1996,26.33,69.44,46.84,109.29,1.66,0,0.015,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Wohlfahrt et al 1999,Trollius europaeus,A,F,11.01,46.01,1540,1993/1996,34.10,90.76,40.86,102.60,1.55,0,0.015,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Wohlfahrt et al 1999,Trollius europaeus,A,F,11.01,46.01,1770,1993/1996,34.10,90.76,76.50,206.70,1.55,0,0.015,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Calfapietra et al 2005,Populus x euramericana,A,D,11.48,42.22,150,2003,36.30,94.20,35.17,63.69,2.10,0,0.015,not applicable,amb,fertilised,not applicable,middle,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar et al 1980,no,1200,0,0,0,
Rodriguez Calcerrada et al 2008,Quercus pyrenaica,A,D,-3.30,41.07,50,2005,77.20,183.00,61.42,159.78,1.45,0,0.015,not applicable,not applicable,not applicable,not applicable,high,not applicable,not applicable,25,Dreyer et al 2001,Bauer et al 2001; Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1000,0.24,0,20.00,temperature reported as 25.8
Bauer et al 2001,Acer rubrum ,A,D,-71.03,42.21,40,1997,41.02,69.54,39.70,54.54,0.67,0,0.015,not applicable,amb,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Bauer et al 2001,Betula alleghaniensis,A,D,-71.03,42.21,40,1997,44.33,74.43,42.90,58.37,0.82,0,0.015,not applicable,ele,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1999,13.00,47.50,45.61,81.45,1.50,0,0.016,not applicable,ele,low,not applicable,shade,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1999,13.10,43.40,45.96,74.47,1.20,0,0.016,not applicable,ele,high,not applicable,shade,not applicable,not applicable,14.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Merilo et al 2006,Picea abies (clone 91),G,E,26.55,58.42,65,2000,34.30,0,71.70,0,1.53,0,0.016,not applicable,not applicable,fertilised,fertilised,shade,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Merilo et al 2006,Picea abies (clone 21),A,E,26.55,58.42,65,2000,51.25,0,107.14,0,2.06,0,0.016,not applicable,not applicable,fertilised,fertilised,sun,not applicable,not applicable,15,not applicable,not applicable,0,41.03,28.21,0,4.33,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1998,19.00,49.10,47.45,68.29,1.40,0,0.016,not applicable,ele,high,not applicable,sun,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Acer saccharum,A,D,-84.04,45.33,215,1998,20.60,49.70,51.45,69.12,1.00,0,0.016,not applicable,amb,low,not applicable,shade,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1998,28.80,87.20,71.93,120.42,1.20,0,0.016,not applicable,ele,low,not applicable,shade,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Kubiske et al  2002,Populus tremuloides,A,D,-84.04,45.33,215,1998,45.20,99.40,112.89,136.85,1.40,0,0.016,not applicable,amb,low,not applicable,shade,not applicable,not applicable,18,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1300,0,0,0,
Wohlfahrt et al 1999,Sesleria varia,A,G,11.01,46.01,1900,1997,31.06,76.28,44.30,89.31,1.35,0,0.016,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Wohlfahrt et al 1999,Plantago media,A,F,11.01,46.01,1900,1997,55.18,137.04,54.76,153.17,1.53,0,0.016,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Wohlfahrt et al 1999,Briza media,A,G,11.01,46.01,1900,1997,58.83,151.80,59.05,171.59,1.47,0,0.016,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,20,Leuning 1997,Farquhar et al 1980; Jordan and Ogren 1984,0,0,0,0,0,standard,Harley et al 1992,no,1200,0,0,0,
Bown et al 2007,Pinus radiata (Clone A),G,E,176.13,-38.26,600,2005,14.90,24.90,26.03,29.17,0.40,0.12,0.016,<1,not applicable,low,high,not applicable,not applicable,not applicable,20,not applicable,not applicable,0,30.60,25.94,0,3.51,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Bown et al 2007,Pinus radiata (Clone A),G,E,176.13,-38.26,600,2005,15.05,24.65,26.29,28.89,0.39,0.04,0.016,<1,not applicable,low,low,not applicable,not applicable,not applicable,20,not applicable,not applicable,0,30.60,25.94,0,3.51,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Bown et al 2007,Pinus radiata (Clone A),G,E,176.13,-38.26,600,2005,17.25,26.39,30.14,30.85,0.72,0.03,0.016,<1,not applicable,high,low,not applicable,not applicable,not applicable,20,not applicable,not applicable,0,30.60,25.94,0,3.51,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
Bown et al 2007,Pinus radiata (Clone A),G,E,176.13,-38.26,600,2005,21.33,33.22,37.26,38.47,0.55,0.06,0.016,<1,not applicable,high,high,not applicable,not applicable,not applicable,20,not applicable,not applicable,0,30.60,25.94,0,3.51,standard,Von Caemmerer and Farquhar 1981,no,1500,0,0,0,
