Author,Species,Plant_taxonomy,Plant_type,Longitude,Latitude,Elevation,Measurement_year,Vcmax_reported,Jmax_reported ,Vcmax_25C,Jmax_25C,Leaf_N ,Leaf_P,SLA,Needle_age,Treatment_CO2,Treatment_N,Treatment_P,Treatment_light,Treatment_other,Treatment_other_levels,Measurement_temperature,Photosynthetic_reference,Kinetic_reference,Km,Kc,Ko,Tau,Gamma_star,Wj_reference,J_reference,J_flag,Irradiance,Alpha,Theta,O2_reported,Notes
Midgley et al 1999,Leucadendron xanthoconus,G,E,20.00,-34.50,120,not reported,57.90,134.10,39.56,83.67,1.19,0,09,not applicable,amb,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,52.28,173.29,51.04,126.66,1.58,0,0.003,1,not applicable,not applicable,not applicable,upper,tree age,82,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,74.83,195.81,73.05,142.19,2.70,0,0.003,<1,not applicable,not applicable,not applicable,upper,tree age,26,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,58.88,197.24,57.48,143.19,1.81,0,0.003,1,not applicable,not applicable,not applicable,upper,tree age,52,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,63.28,198.00,61.78,143.71,1.49,0,0.003,<1,not applicable,not applicable,not applicable,upper,tree age,82,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,53.33,148.14,52.07,109.49,2.52,0,0.003,1,not applicable,not applicable,not applicable,upper,tree age,26,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,70.01,213.83,68.35,154.82,1.64,0,0.003,<1,not applicable,not applicable,not applicable,upper,tree age,52,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,62.29,188.58,60.81,137.18,2.70,0,0.004,1,not applicable,not applicable,not applicable,upper,tree age,13,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,55.67,148.29,54.35,109.60,2.93,0,0.004,1,not applicable,not applicable,not applicable,lower,tree age,26,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,46.00,0,41.87,0,2.90,0,0.004,2,not applicable,not applicable,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,55.50,0,50.52,0,3.00,0,0.004,<1,not applicable,not applicable,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,62.30,0,56.71,0,3.20,0,0.004,1,not applicable,not applicable,not applicable,upper,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,52.66,129.82,51.41,97.01,2.26,0,0.005,<1,not applicable,not applicable,not applicable,lower,tree age,26,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,47.84,120.36,46.70,90.53,3.12,0,0.005,1,not applicable,not applicable,not applicable,lower,tree age,52,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,61.51,168.37,60.05,123.29,2.02,0,0.005,<1,not applicable,not applicable,not applicable,upper,tree age,13,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,31.80,0,28.95,0,2.30,0,0.005,3,not applicable,not applicable,not applicable,lower,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
